,countriesAndTerritories,pop2019
0,Afghanistan,38041757.0
1,Albania,2862427.0
2,Algeria,43053054.0
3,Andorra,76177.0
4,Angola,31825299.0
5,Antigua_and_Barbuda,97115.0
6,Argentina,44780675.0
7,Armenia,2957728.0
8,Australia,25203200.0
9,Austria,8858775.0
10,Azerbaijan,10047719.0
11,Bahamas,389486.0
12,Bahrain,1641164.0
13,Bangladesh,163046173.0
14,Barbados,287021.0
15,Belarus,9452409.0
16,Belgium,11455519.0
17,Belize,390351.0
18,Benin,11801151.0
19,Bhutan,763094.0
20,Bolivia,11513102.0
21,Bosnia_and_Herzegovina,3300998.0
22,Botswana,2303703.0
23,Brazil,211049519.0
24,Bulgaria,7000039.0
25,Burkina_Faso,20321383.0
26,Burundi,11530577.0
27,Cambodia,16486542.0
28,Cameroon,25876387.0
29,Canada,37411038.0
30,Central_African_Republic,4745179.0
31,Chad,15946882.0
32,Chile,18952035.0
33,China,1433783692.0
34,Colombia,50339443.0
35,Comoros,850891.0
36,Congo,5380504.0
37,Costa_Rica,5047561.0
38,Cote_dIvoire,25716554.0
39,Croatia,4076246.0
40,Cuba,11333484.0
41,Cyprus,875899.0
42,Czechia,10649800.0
43,Denmark,5806081.0
44,Djibouti,973557.0
45,Dominica,71808.0
46,Dominican_Republic,10738957.0
47,Ecuador,17373657.0
48,Egypt,100388076.0
49,El_Salvador,6453550.0
50,Equatorial_Guinea,1355982.0
51,Eritrea,3497117.0
52,Estonia,1324820.0
53,Eswatini,1148133.0
54,Ethiopia,112078727.0
55,Fiji,889955.0
56,Finland,5517919.0
57,France,67012883.0
58,Gabon,2172578.0
59,Gambia,2347696.0
60,Georgia,3996762.0
61,Germany,83019213.0
62,Ghana,30417858.0
63,Greece,10724599.0
64,Grenada,112002.0
65,Guatemala,17581476.0
66,Guinea,12771246.0
67,Guinea_Bissau,1920917.0
68,Guyana,782775.0
69,Haiti,11263079.0
70,Holy_See,815.0
71,Honduras,9746115.0
72,Hungary,9772756.0
73,Iceland,356991.0
74,India,1366417756.0
75,Indonesia,270625567.0
76,Iran,82913893.0
77,Iraq,39309789.0
78,Ireland,4904240.0
79,Israel,8519373.0
80,Italy,60359546.0
81,Jamaica,2948277.0
82,Japan,126860299.0
83,Jordan,10101697.0
84,Kazakhstan,18551428.0
85,Kenya,52573967.0
86,Kosovo,1798506.0
87,Kuwait,4207077.0
88,Kyrgyzstan,6415851.0
89,Laos,7169456.0
90,Latvia,1919968.0
91,Lebanon,6855709.0
92,Lesotho,2125267.0
93,Liberia,4937374.0
94,Libya,6777453.0
95,Liechtenstein,38378.0
96,Lithuania,2794184.0
97,Luxembourg,613894.0
98,Madagascar,26969306.0
99,Malawi,18628749.0
100,Malaysia,31949789.0
101,Maldives,530957.0
102,Mali,19658023.0
103,Malta,493559.0
104,Marshall_Islands,58791.0
105,Mauritania,4525698.0
106,Mauritius,1269670.0
107,Mexico,127575529.0
108,Moldova,4043258.0
109,Monaco,33085.0
110,Mongolia,3225166.0
111,Montenegro,622182.0
112,Morocco,36471766.0
113,Mozambique,30366043.0
114,Namibia,2494524.0
115,Nepal,28608715.0
116,Netherlands,17282163.0
117,New_Zealand,4783062.0
118,Nicaragua,6545503.0
119,Niger,23310719.0
120,Nigeria,200963603.0
121,North_Macedonia,2077132.0
122,Norway,5328212.0
123,Oman,4974992.0
124,Pakistan,216565317.0
125,Panama,4246440.0
126,Papua_New_Guinea,8776119.0
127,Paraguay,7044639.0
128,Peru,32510462.0
129,Philippines,108116622.0
130,Poland,37972812.0
131,Portugal,10276617.0
132,Qatar,2832071.0
133,Romania,19414458.0
134,Russia,145872260.0
135,Rwanda,12626938.0
136,Saint_Kitts_and_Nevis,52834.0
137,Saint_Lucia,182795.0
138,Saint_Vincent_and_the_Grenadines,110593.0
139,San_Marino,34453.0
140,Sao_Tome_and_Principe,215048.0
141,Saudi_Arabia,34268529.0
142,Senegal,16296362.0
143,Serbia,6963764.0
144,Seychelles,97741.0
145,Sierra_Leone,7813207.0
146,Singapore,5804343.0
147,Slovakia,5450421.0
148,Slovenia,2080908.0
149,Solomon_Islands,669821.0
150,Somalia,15442906.0
151,South_Africa,58558267.0
152,South_Korea,51225321.0
153,South_Sudan,11062114.0
154,Spain,46937060.0
155,Sri_Lanka,21323734.0
156,Sudan,42813237.0
157,Suriname,581363.0
158,Sweden,10230185.0
159,Switzerland,8544527.0
160,Syria,17070132.0
161,Taiwan,23773881.0
162,Tajikistan,9321023.0
163,Thailand,69625581.0
164,Timor_Leste,1293120.0
165,Togo,8082359.0
166,Trinidad_and_Tobago,1394969.0
167,Tunisia,11694721.0
168,Turkey,82003882.0
169,Uganda,44269587.0
170,Ukraine,43993643.0
171,United_Arab_Emirates,9770526.0
172,United_Kingdom,66647112.0
173,United_States_of_America,329064917.0
174,Uruguay,3461731.0
175,Uzbekistan,32981715.0
176,Vanuatu,299882.0
177,Venezuela,28515829.0
178,Vietnam,96462108.0
179,Yemen,29161922.0
180,Zambia,17861034.0
181,Zimbabwe,14645473.0
